Restaurant ID,Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Rating text,Votes
18393213,Bhimsain's Bengali Sweet House,New Delhi,"Mithai, North Indian, Street Food, Chinese, South Indian, Indian",450,No,No,2.9,Average,4
308336,Cafe Coffee Day,New Delhi,Cafe,450,No,No,3.1,Average,13
637,Cafe Coffee Day,New Delhi,Cafe,450,No,Yes,3,Average,38
313159,Dolce Gelato,New Delhi,"Ice Cream, Beverages, Fast Food",300,No,Yes,3.2,Average,9
3608,Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,3,Average,71
3636,Gopala,New Delhi,"North Indian, Street Food",150,No,No,3,Average,12
312790,New Punjabi Khana,New Delhi,North Indian,200,No,No,3.1,Average,8
5537,New Vishal Corner,New Delhi,"North Indian, Street Food, Fast Food",250,No,No,3.1,Average,14
308347,Punjabi Khana,New Delhi,North Indian,200,No,No,3.2,Average,14
2602,Rajshree,New Delhi,"South Indian, Chinese",250,No,No,3.1,Average,11
3638,Snack Junction,New Delhi,"North Indian, Chinese",250,No,No,3,Average,27
18017281,Sona,New Delhi,"North Indian, South Indian, Fast Food",400,No,No,3.4,Average,29
3607,Southy,New Delhi,South Indian,450,No,Yes,2.5,Average,94
3069,The First Floor,New Delhi,"North Indian, Chinese",1000,Yes,Yes,3.1,Average,14
18268390,Hype,New Delhi,"Finger Food, Italian, Middle Eastern",4700,No,No,3.7,Good,142
196,McDonald's,New Delhi,"Fast Food, Burger",500,No,Yes,3.7,Good,177
5487,New Punjabi Khana,New Delhi,North Indian,200,No,No,3.9,Good,104
308331,Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",800,No,Yes,3.6,Good,103
18126080,Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",800,No,No,3.6,Good,58
